,days,rat_num,cell_num
0,P12P13,151215,3
1,P12P13,151123,1
2,P12P13,151215,1
3,P12P13,151214,1
4,P12P13,151214,3
5,P12P13,151214,2
6,P12P13,150407,1
7,P12P13,151124,1
8,P12P13,150429,3
9,P12P13,150429,2
10,P12P13,151215,2
11,P12P13,150429,1
12,P30P40,150424,1
13,P30P40,160414,2
14,P30P40,150326,3
15,P30P40,150414,2
16,P30P40,160425,1
17,P30P40,160503,1
18,P30P40,150326,2
19,P30P40,150423,1
20,P30P40,150424,2
21,P30P40,150414,1
22,P14P18,151128,1
23,P14P18,151222,2
24,P14P18,151217,3
25,P14P18,151223,1
26,P14P18,151223,2
27,P14P18,151221,2
28,P14P18,151217,2
29,P14P18,151229,2
30,P14P18,151216,2
31,P14P18,151117,1
32,P14P18,151221,1
33,P14P18,151217,1
34,P14P18,151222,1
35,P14P18,151229,1
36,P14P18,151216,1
37,P9P10,150409,2
38,P9P10,150427,2
39,P9P10,150428,3
40,P9P10,150410,3
41,P9P10,150409,1
42,P9P10,150410,1
43,P9P10,150408,1
44,P9P10,150427,1
45,P9P10,150410,2
46,P9P10,150428,1
47,P9P10,150428,2
